data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-09,01/09/2021,Back In Black (AC/DC),2901,0.04835,0.0008058333333333333
2021-01-09,01/09/2021,Back In Black (AC/DC),3413,0.056883333333333334,0.0009480555555555556
2021-01-09,01/09/2021,Good Times Bad Times   1993   (Led Zeppelin),3157,0.052616666666666666,0.0008769444444444444
2021-01-09,01/09/2021,Good Times Bad Times   1993   (Led Zeppelin),2816,0.046933333333333334,0.0007822222222222222
2021-01-09,01/09/2021,D'yer Mak'er     (Led Zeppelin),1877,0.03128333333333334,0.0005213888888888889
2021-01-09,01/09/2021,D'yer Mak'er     (Led Zeppelin),2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,D'yer Mak'er     (Led Zeppelin),2048,0.034133333333333335,0.000568888888888889
2021-01-09,01/09/2021,D'yer Mak'er     (Led Zeppelin),4096,0.06826666666666667,0.001137777777777778
2021-01-09,01/09/2021,We Will Rock You     2011 (Queen),3157,0.052616666666666666,0.0008769444444444444
2021-01-09,01/09/2021,Drive My Car     2009 (The Beatles),4522,0.07536666666666667,0.001256111111111111
2021-01-09,01/09/2021,Since I've Been Loving You     (Led Zeppelin),2047,0.03411666666666666,0.0005686111111111111
2021-01-09,01/09/2021,Hell Ain't a Bad Place to Be (AC/DC),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Shoot to Thrill (AC/DC),3925,0.06541666666666666,0.0010902777777777777
2021-01-09,01/09/2021,Dude (Looks Like A Lady) (Aerosmith),2304,0.0384,0.0006399999999999999
2021-01-09,01/09/2021,Michelle     2009 (The Beatles),2730,0.0455,0.0007583333333333333
2021-01-09,01/09/2021,It's a Long Way to the Top (If You Wanna Rock 'N' Roll) (AC/DC),2645,0.044083333333333335,0.0007347222222222222
2021-01-09,01/09/2021,Radio Ga Ga     2011 (Queen),3413,0.056883333333333334,0.0009480555555555556
2021-01-09,01/09/2021,Cocaine (Eric Clapton),2474,0.04123333333333333,0.0006872222222222222
2021-01-09,01/09/2021,Kashmir     (Led Zeppelin),5887,0.09811666666666667,0.0016352777777777778
2021-01-09,01/09/2021,R U Mine? (Arctic Monkeys),5290,0.08816666666666667,0.0014694444444444444
2021-01-09,01/09/2021,Roll Over Beethoven     2009 (The Beatles),2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,Roll Over Beethoven     2009 (The Beatles),5546,0.09243333333333334,0.0015405555555555556
2021-01-09,01/09/2021,Paranoid (Black Sabbath),4352,0.07253333333333334,0.001208888888888889
2021-01-09,01/09/2021,We Will Rock You     2011 (Queen),2901,0.04835,0.0008058333333333333
2021-01-09,01/09/2021,Iron Man (Black Sabbath),2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,Miss You     (The Rolling Stones),3071,0.05118333333333333,0.0008530555555555555
2021-01-09,01/09/2021,Jesus Is On The Main Line (Aerosmith),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Big Balls (AC/DC),14700,0.245,0.004083333333333333
2021-01-09,01/09/2021,Yesterday     2009 (The Beatles),2303,0.03838333333333333,0.0006397222222222222
2021-01-09,01/09/2021,Sabbath Bloody Sabbath (Black Sabbath),2730,0.0455,0.0007583333333333333
2021-01-09,01/09/2021,Legendary Child (Aerosmith),4181,0.06968333333333333,0.0011613888888888889
2021-01-09,01/09/2021,"Running On Faith   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",390893,6.514883333333334,0.1085813888888889
2021-01-09,01/09/2021,The Song Remains the Same     (Led Zeppelin),8734,0.14556666666666668,0.002426111111111111
2021-01-09,01/09/2021,Rock the Blues Away (AC/DC),37717,0.6286166666666667,0.010476944444444445
2021-01-09,01/09/2021,Going to California     (Led Zeppelin),2730,0.0455,0.0007583333333333333
2021-01-09,01/09/2021,I Saw Her Standing There     2009 (The Beatles),2986,0.04976666666666667,0.0008294444444444445
2021-01-09,01/09/2021,Help!     2009 (The Beatles),2816,0.046933333333333334,0.0007822222222222222
2021-01-09,01/09/2021,Communication Breakdown   1/4/71 Paris Theatre;  (Led Zeppelin),1962,0.0327,0.000545
2021-01-09,01/09/2021,Let It Be     2009 (The Beatles),1877,0.03128333333333334,0.0005213888888888889
2021-01-09,01/09/2021,Let's Get It Up (AC/DC),2986,0.04976666666666667,0.0008294444444444445
2021-01-09,01/09/2021,Respectable     (The Rolling Stones),1621,0.027016666666666668,0.0004502777777777778
2021-01-09,01/09/2021,Sin City (AC/DC),2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Do You Want To Know A Secret     2009 (The Beatles),2901,0.04835,0.0008058333333333333
2021-01-09,01/09/2021,I Am The Walrus     2009 (The Beatles),2986,0.04976666666666667,0.0008294444444444445
2021-01-09,01/09/2021,When the Levee Breaks     (Led Zeppelin),3669,0.06115,0.0010191666666666667
2021-01-09,01/09/2021,"Layla   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",2218,0.03696666666666667,0.0006161111111111111
2021-01-09,01/09/2021,Walk This Way (Aerosmith),2815,0.04691666666666667,0.0007819444444444445
2021-01-09,01/09/2021,Shake a Leg (AC/DC),2474,0.04123333333333333,0.0006872222222222222
2021-01-09,01/09/2021,You Gotta Move (Aerosmith),2730,0.0455,0.0007583333333333333
